Sentences,class
ගමට මම යෙමි.,incorrect
ගීයක් මම ගයමි.,incorrect
පොත මම ලියමි.,incorrect
මුහුණ මම සෝදමි.,incorrect
ඇය මම දකිමි.,incorrect
තෑග්ගක් මම දෙමි.,incorrect
බත් නුඹ කන්නෙහි.,incorrect
තේ නුඹ බොන්නෙහි.,incorrect
ගමට නුඹ යන්නෙහි.,incorrect
ගීයක් නුඹ ගයන්නෙහි.,incorrect
පොත නුඹ ලියන්නෙහි.,incorrect
නිවැරදි නුඹ කරෙහි.,incorrect
ඇය නුඹ දක්නෙහි.,incorrect
බත් ඔහු කයි.,incorrect
තේ ඇය බොයි.,incorrect
ගමට ඔහු යයි.,incorrect
ගීයක් ඇය ගයයි.,incorrect
පොත ඔහු ලියයි.,incorrect
නිවැරදි ඇය කරයි.,incorrect
එය ඔහු දකියි.,incorrect
ඇදේ ඇය නිදාගනීයි.,incorrect
ගසකට ඔහු නගියි.,incorrect
ගමට ඇය පැමිණෙයි.,incorrect
බත් අපි කමු.,incorrect
තේ අපි බොමු.,incorrect
ගමට අපි යමු.,incorrect
ගීයක් අපි ගයමු.,incorrect
පොතේ අපි ලියමු.,incorrect
නිවැරදි අපි කරමු.,incorrect
ඔවුන්ව අපි දකිමු.,incorrect
තෑග්ගක් අපි දෙමු.,incorrect
දැන් අපි නිදාගනිමු.,incorrect
බත් ඔවුහු කති.,incorrect
තේ ඔවුහු බොති.,incorrect
ගමට ඔවුහු යති.,incorrect
ගීයක් ඔවුහු ගයති.,incorrect
පොත ඔවුහු ලියති.,incorrect
නිවැරදි ඔවුහු කරති.,incorrect
ඇය ඔවුහු දකිති.,incorrect
ඔහුට ඔවුහු දෙති.,incorrect
නිදාගනිති ඔවුහු.,incorrect
පැමිණෙති ඔවුහු.,incorrect
බිම ගල තිබේ.,incorrect
සිසිල් විය ජලය.,incorrect
නිරෝගීව ගස වැඩෙයි.,incorrect
එහි පොත ඇත.,incorrect
සමතැන සීතල පැතිරෙයි.,incorrect
සුළඟට දොර හැරෙයි.,incorrect
ඉතා දිගු ය පාර.,incorrect
නිල් වෙයි අහස.,incorrect
වැටෙයි පැන්සල.,incorrect
හිරු සවසට බසීයි.,incorrect
සඳ රාත්‍රියට පායයි.,incorrect
කඩදාසිය වතුරේ පාවෙයි.,incorrect
කැඩී වැට තිබේ.,incorrect
ඉහළ දුම යයි.,incorrect
විසන්ධි විය විදුලිය.,incorrect
වෙනස් විය තත්වය.,incorrect
ගත වෙයි කාලය.,incorrect
ඇති වෙයි ප්‍රශ්නය.,incorrect
ලස්සන විය නිවස.,incorrect
මැකී යයි රූපය.,incorrect
සවි විය මේසය.,incorrect
පටන් ගනී වැස්ස.,incorrect
වෙනස් විය වර්ණය.,incorrect
නිම වෙයි පාඩම.,incorrect
ගලා යයි නදිය.,incorrect
අඳුරු විය කාමරය.,incorrect
කැඩුණේ ය බිත්තිය.,incorrect
ඉදී ඇත පලතුර.,incorrect
වෙනස් විය රසය.,incorrect
බිඳෙයි නිශ්ශබ්දතාව.,incorrect
සංසරණය වෙයි වාතය.,incorrect
පැවතියේ ය ලෝකය.,incorrect
එළි වෙයි සත්‍යය.,incorrect
හෙළි විය රහස.,incorrect
සුළඟට කවුළුව වැසෙයි.,incorrect
විකිණෙයි භාණ්ඩය.,incorrect
ඇති විය සතුට.,incorrect
කැඩී යයි පියාපත.,incorrect
දියුණුවෙයි විද්‍යාව.,incorrect
තීරණය වෙයි ඉරණම.,incorrect
කෑම අපි කමු.,incorrect
වැඩ අපි කරමු.,incorrect
තරු බබළයි අහසේ .,incorrect
උදේට නෙලුම්  පිපෙයි මල.,incorrect
සෙමෙන් ගලයි ගඟ .,incorrect
පාවී වලාකුළු එයි.,incorrect
සුළඟට පෙරළෙයි ගස .,incorrect
සුළඟට වැනෙයි ගස .,incorrect
පාසලට යමු අපි .,incorrect
මල් පිපෙයි ගස්වල .,incorrect
සුළඟක් සිසිල් හමයි.,incorrect
පාසලට යමි මම.,incorrect
සෙල්ලම් කරයි වසුපැටවා .,incorrect
පාවී වලාකුළු යති.,incorrect
සෙමෙන් ගලයි ගඟ .,incorrect
විවේකයෙන් සිටියි අම්මා .,incorrect
පොතක් කියවයි අක්කා .,incorrect
කුඹුරු කොටති ගොවියෝ .,incorrect
සෙල්ලම් මල්ලී කරයි.,incorrect
විලේ පීනති හංසයෝ .,incorrect
ගීත ඔහු ගයයි.,incorrect
පොතක් ඔහු කියවයි.,incorrect
රිය ඔහු පදවයි.,incorrect
ගමට ඔහු ගියේ ය.,incorrect
බත් ඔහු කෑවේ ය.,incorrect
ගීත ඔහු ගැයුවේ ය.,incorrect
පොතක් ඔහු කියවූයේ ය.,incorrect
රිය ඔහු පැදවූවේ ය.,incorrect
පාසල් මල්ලිලා ගියෝ ය.,incorrect
ගීත නංගිලා ගැයුවෝ ය.,incorrect
පොත් අයියලා කියෙවුවෝ ය.,incorrect
ගමට මාමලා පැමිණියෝ ය.,incorrect
පාසල් මල්ලිලා ගියහ.,incorrect
ගීත නංගිලා ගැයූහ.,incorrect
පොත් අයියලා කියවූහ.,incorrect
ගමට මාමලා පැමිණියහ.,incorrect
පාසල් මල්ලී ගියේ ය.,incorrect
පලතුරු තාත්තා කෑවේ ය.,incorrect
නිවසට මාමා ආවේ ය.,incorrect
පාසල් නංගී ගියා ය.,incorrect
පලතුරු අම්මා කෑවා ය.,incorrect
නිවසට නැන්දා ආවා ය.,incorrect
නිවසට මාමලා ආවෝ ය.,incorrect
පාසල් නංගිලා ගියෝ ය.,incorrect
පලතුරු අම්මලා කෑවෝ ය.,incorrect
නිවසට නැන්දලා ආවෝ ය.,incorrect
ගීතයක් පසිඳු ගැයුවේ ය.,incorrect
ඇඳුමක් අම්මා මැසුවා ය.,incorrect
පොතක් අයියා කියවයි.,incorrect
ගමට මාමා ගියේ ය.,incorrect
වැලිතලප නැන්දා සෑදුවා ය.,incorrect
පාසල් මල්ලී යයි.,incorrect
පලතුරු තාත්තා කයි.,incorrect
අපට ගුරුතුමා උගන්වයි.,incorrect
අපට ගුරුතුමා ඉගැන්වූයේ ය.,incorrect
පාසල් නංගී යයි.,incorrect
පලතුරු අම්මා කයි.,incorrect
අපට ගුරුතුමිය උගන්වයි.,incorrect
සුළඟට ගස වැනුණේ ය.,incorrect
උදෙන්ම අප අවදි වීමු.,incorrect
උදේ ආහාරය අප ගතිමු.,incorrect
පාසලට අප ගියෙමු.,incorrect
ඇඳුමක් සොහොයුරිය අඳියි.,incorrect
ඇඳුමක් සොහොයුරිය ඇන්දා ය.,incorrect
උදෙන්ම අප අවදි වූමු.,incorrect
පාසලට අපි හැමෝම යමු.,incorrect
ඇඳුමක් අම්මා මැසුවේ ය.,incorrect
පලතුරු තාත්තා කෑවා ය.,incorrect
නිවසට මාමා ආවා ය.,incorrect
අපට ගුරුතුමා ඉගැන්නුවා ය.,incorrect
අපට ගුරුතුමිය උගැන්වූයේ ය.,incorrect
පලතුරු අම්මා කෑවේ ය.,incorrect
පාසල් නංගී ගියාය.,incorrect
පලතුරු අම්මා කෑවාය.,incorrect
පුවත්පත සීයා කියවයි.,incorrect
පාසලට අපි යන්නෙමු.,incorrect
ඇඳුමක් මල්ලි අඳියි.,incorrect
හයියෙන් මම කතා කළෙමි.,incorrect
පාඩම් පොතේ මම ලීවෙමි.,incorrect
වාහනය මම සෙමින් පැදවූවෙමි.,incorrect
සතුන්ට මම ආදරය කළෙමි.,incorrect
ඔවුන්ට මම පොත් දුන්නෙමි.,incorrect
ඇය සමග මම සිනාසුනෙමි.,incorrect
අලුත් ඇදුම් මම ගත්තෙමි.,incorrect
එය මට පිළිගත හැක.,incorrect
එය ඇය එකතු කළාය.,incorrect
ඔහුට ඔවුහු උපදෙස් දුන්නෝය.,incorrect
ඒ සමඟ මට එකඟ විය හැක.,incorrect
එයට ඇය ඉඩ දෙයි.,incorrect
එය අපි නිවේදනය කරමු.,incorrect
සමාව මට ඉල්ලිය හැක.,incorrect
පාසලේ ඇය අද සිටියි.,incorrect
එය ඔවුහු පිළියෙළ කළෝය.,incorrect
හෙට මට ආ හැක.,incorrect
ඔහුගෙන් ඇයට ඇසිය හැක.,incorrect
මල් මාලා ඇය අමුණයි.,incorrect
ඇයව ඔවුහු මඟහැරියෝය.,incorrect
එය මට පිසිය හැක.,incorrect
එය අපි පරාජය කරමු.,incorrect
සතුටට ඔවුහු පත්විය.,incorrect
මුදල් අපි ණයට ගත්තෙමු.,incorrect
වේගයෙන් ඔවුහු හුස්ම ගනිති.,incorrect
එය මට ඇරඹිය හැක.,incorrect
එය මට රැගෙන ආ හැක.,incorrect
එය මට සෑදිය හැක.,incorrect
ආහාර ඇය මිලට ගනියි.,incorrect
එය අපි ගණනය කරමු.,incorrect
එය ඔවුහු රැගෙන යති.,incorrect
වංචා ඔවුන් නොකරයි.,incorrect
මා සමඟ ඇය තරඟ කරයි.,incorrect
කියවීම ඔවුහු දිගටම කළෝය.,incorrect
එය පිළිබඳ අපි පැමිණිලි කරමු.,incorrect
ඒ පිළිබඳ ඔහු ඇඬුවේය.,incorrect
දැන් මට තීරණය කළ හැක.,incorrect
මට ඇය ඒ පිළිබඳ විස්තර කළාය.,incorrect
ඒ පිළිබඳ අපි එකඟ නොවීමු.,incorrect
ඔවුන්ට අපි ආරාධනා කළෙමු.,incorrect
එය ඇය සිතෙහි මවා ගනියි.,incorrect
ඔහු ගැන ඔවුහු බොරු කීවෝය.,incorrect
එය ඇය අහිමි කරගත්තාය.,incorrect
ඔහුව ඔවුහු හමුවූවෝය.,incorrect
එය මම වැරදි ලෙස ලියමි.,incorrect
ඔවුන්ව අපි ආරක්ෂා කළෙමු.,incorrect
ඇයට ඔවුහු දඬුවම් කරයි.,incorrect
කතාබහ කිරීම ඔවුහු ප්‍රතික්ෂේප කරති.,incorrect
එය අපි ගායනා කරන්නෙමු.,incorrect
මුදල් ඇය වියදම් කරයි.,incorrect
එයින් අපි දුක් වින්ඳෙමු.,incorrect
එය ඔවුහු යෝජනා කරති.,incorrect
ඔහුව මම පුදුම කළෙමි.,incorrect
ඒ පිළිබඳ මම කතා කරන්නෙමි.,incorrect
බත් මම දැන් කමි.,incorrect
බත් නුඹ දැන් කන්නෙහි.,incorrect
බත් ඔහු දැන් කයි.,incorrect
තේ ඇය දැන් බොයි.,incorrect
බත් අපි දැන් කමු.,incorrect
බත් නුඹලා දැන් කවු.,incorrect
තේ ඔවුහු දැන් බොති.,incorrect
ගීත මම ගයමි.,incorrect
ඇඳුම් නුඹ අඳින්නෙහි.,incorrect
පාඩම් ඔහු ලියයි.,incorrect
ගමන ඇය යයි.,incorrect
නිවාස අපි දකිමු.,incorrect
වැඩ නුඹලා කරහු.,incorrect
මෙහි ඔවුහු එති.,incorrect
පොත මම කියමි.,incorrect
නිතර නුඹ දුවන්නෙහි.,incorrect
මුදල් ඔහු ගනී.,incorrect
සතුටු අපි වන්නෙමු.,incorrect
හොඳින් නුඹලා ඉන්නහු.,incorrect
හොඳින් ඔවුහු පවතිති.,incorrect
ගමන ඇය ගියා ය.,incorrect
ගීත මම ගීයෙමි.,incorrect
ඇඳුම් නුඹ ඇන්දෙහි.,incorrect
පාඩම් ඔහු ලිව්වේ ය.,incorrect
මෙහි ඇය ආවා ය.,incorrect
නිවාස අපි දුටිමු.,incorrect
වැඩ නුඹලා කෙරූහුය.,incorrect
පොත් ඔවුහු කියවූවෝ ය.,incorrect
නිදාගත්තෙමි මම.,incorrect
හොඳින් නුඹ හිටියෙහි.,incorrect
මුදල් ඔහු ගත්තේ ය.,incorrect
එතැන නුඹලා සිටියහුය.,incorrect
එහි ඔවුහු ගියෝ ය.,incorrect
ගීත මම ගයන්නෙමි.,incorrect
පොත නුඹ කියවන්නෙහි.,incorrect
එය ඔහු දකින්නේ ය.,incorrect
පිළිතුරු ඇය දෙන්නේ ය.,incorrect
වැඩ අපි කරන්නෙමු.,incorrect
මෙහි නුඹලා එන්නවු.,incorrect
සතුටු ඔවුහු වන්නෝ ය.,incorrect
ඉක්මන් මම වන්නෙමි.,incorrect
පොත් නුඹ ගන්නේ ය.,incorrect
එහි ඔහු පවතින්නේ ය.,incorrect
කාරණා අපි දැනගන්නෙමු.,incorrect
සත්‍යය නුඹලා කියන්නහු.,incorrect
හොඳින් ගස වැඩේ.,incorrect
නිතර ජලය ගලයි.,incorrect
එහි පොත තිබේ.,incorrect
දැන් සීතල පැතිරෙයි.,incorrect
ඉබේ දොර හැරෙයි.,incorrect
දුර ය පාර.,incorrect
නිතර අහස නිල් වෙයි.,incorrect
දැන් පලතුරු ඉදී ඇත.,incorrect
සෙමින් ගින්න නිවෙයි.,incorrect
දැන් බෝල පෙරළෙයි.,incorrect
අහසේ වලාකුළු පාවෙයි.,incorrect
වේගයෙන් කාලය ගතවෙයි.,incorrect
දීප්තිමත් කාමරය වේ.,incorrect
ඉක්මනින් වීදුරුව බිඳෙයි.,incorrect
සෙමින් රූප මැකී යයි.,incorrect
දැන් වැස්ස වැටෙයි.,incorrect
දැන් පහන දැල්වෙයි.,incorrect
නිතර ශබ්දය ඇසෙයි.,incorrect
නිතර සතුට ඇති වෙයි.,incorrect
නිතර විද්‍යාව දියුණුවෙයි.,incorrect
හොඳින් ගස වැඩුණේ ය.,incorrect
ඉක්මනින් ජලය ගලා ගියේ ය.,incorrect
එහි පොත තිබුණේ ය.,incorrect
වේගයෙන් සීතල පැතිර ගියේ ය.,incorrect
ඉබේ දොර විවර විය.,incorrect
හොඳින් පාර තැනුවේ ය.,incorrect
නිල් අහස පැහැ ගැන්විය.,incorrect
ඊයේ පලතුරු ඉදුණේ ය.,incorrect
ඉක්මනින් ගින්න නිවුණේ ය.,incorrect
බිම බෝල පෙරළුණේ ය.,incorrect
ඉක්මනින් වලාකුළු විසිර ගියේ ය.,incorrect
සෙමින් කාලය ගෙවී ගියේ ය.,incorrect
පිරිසිදු කාමරය කෙරිණි.,incorrect
ඊයේ වීදුරුව බිඳුණේ ය.,incorrect
වේගයෙන් රූප මැකී ගියේ ය.,incorrect
ඊයේ වැස්ස වැටුණේ ය.,incorrect
ඉක්මනින් පහන දැල්වුණේ ය.,incorrect
පැහැදිලි ව ශබ්දය ඇසුණේ ය.,incorrect
එතැන සතුට ඇති විය.,incorrect
පෙර විද්‍යාව දියුණු විය.,incorrect
දරුවාට මම දුන්නෙමි.,incorrect
අද නුඹ සිතන්නෙහි.,incorrect
පාඩම ඔහු අවසන් කෙළේ ය.,incorrect
නිතර ඇය අඬයි.,incorrect
සිනාසුණෙමු අපි.,incorrect
හෙට නුඹලා වාඩිවන්නවු.,incorrect
හොඳින් ඔවුහු නැටුවෝ ය.,incorrect
දැන් මම යනවා ඇත්තෙමි.,incorrect
එය නුඹ පිළිගන්නෙහි.,incorrect
අද ඔහු කතා කරන්නේ ය.,incorrect
පිළිතුර ඇය දීමට ඇත.,incorrect
එතැනට අපි යන්නෙමු.,incorrect
අද නුඹලා ඇසුවහුය.,incorrect
එය ඔවුහු දැනගන්නෝ ය.,incorrect
ඉක්මන් මම වන්නට ඇත.,incorrect
පාර නුඹ පෙන්වූයෙහි.,incorrect
සෙල්ලම් කරමින් ඔහු සිටියේ ය.,incorrect
හොඳින් අපි දැන ගතිමු.,incorrect
එය නුඹලා බාරගත්තවුය.,incorrect
කෑගසමින් ඔවුහු සිටියෝ ය.,incorrect
එහි මල වියළී ගියේ ය.,incorrect
පැහැදිලි කරුණ වෙන්නේ ය.,incorrect
ඉක්මනින් පහන් දැල්වුණේ ය.,incorrect
දුර හඬ ඇසෙයි.,incorrect
දැන් අදහස ඇති වෙයි.,incorrect
විකිණෙන්නේ භාණ්ඩ.,incorrect
තදින් ජනේලය වැසෙයි.,incorrect
බිම පත්‍ර වැටුණේ ය.,incorrect
ඉක්මනින් වර්ණ වෙනස් විය.,incorrect
හෙට රථය නවතින්නේ ය.,incorrect
නිරතුරුව දුම ඉහළ යයි.,incorrect
බිම ගල් තිබුණේ ය.,incorrect
දැන් විදුලිය විසන්ධි වෙයි.,incorrect
ඉක්මනින් තත්වය වෙනස් වේ.,incorrect
දැන් ඉරණම තීරණය විය.,incorrect
මඳින් නදිය ගලා යයි.,incorrect
ඉතා අඳුරු නිවස විය.,incorrect
හොඳින් මේස සවි කෙරිණි.,incorrect
ඊයේ අපි සෑදුවෙමු එය .,incorrect
ඊයේ බත් මම කෑයෙමි.,incorrect
ඊයේ බත් නුඹ කෑයෙහි.,incorrect
ඊයේ තේ ඔහු බීයේ ය.,incorrect
ඊයේ බත් අපි කෑයෙමු.,incorrect
ඊයේ බත් නුඹලා කෑහුය.,incorrect
ඊයේ තේ ඔවුහු බීවෝ ය.,incorrect
ඊයේ අපි නැටීමු.,incorrect
හෙට මම කන්නෙමි.,incorrect
හෙට නුඹ කන්නෙහී.,incorrect
හෙට ඔහු බොන්නේ ය.,incorrect
හෙට ඇය යන්නේ ය.,incorrect
හෙට අපි යන්නෙමු.,incorrect
හෙට නුඹලා යන්නවු.,incorrect
හෙට ඔවුහු එන්නෝ ය.,incorrect
ඊයේ රහස හෙළි විය.,incorrect
ඊයේ සිදුවීම සිදුවිය.,incorrect
දැන් මම කමි.,incorrect
හෙට නුඹ යන්නෙහි.,incorrect
ඊයේ ඔහු ආයේ ය.,incorrect
නිතර ඇය ලියයි.,incorrect
වහා අපි යමු.,incorrect
පෙර නුඹලා කෑහුය.,incorrect
අද ඔවුහු එති.,incorrect
හෙට මම බොන්නෙමි.,incorrect
දැන් නුඹ සිටින්නෙහි.,incorrect
පසුව ඔහු දනී.,incorrect
වහා ඇය ඇන්දේ ය.,incorrect
ඊයේ අපි දුටිමු.,incorrect
හෙට නුඹලා එන්නවු.,incorrect
නිතර ඔවුහු දකිති.,incorrect
සවස් මම ගතිමි.,incorrect
අද නුඹ දුවන්නෙහි.,incorrect
පෙර ඔහු කීවේ ය.,incorrect
දැන් ඇය දනී.,incorrect
අද නුඹලා ගයවු.,incorrect
ඉක්මන් ඔවුහු ආවෝ ය.,incorrect
දැන් මම ලියමි.,incorrect
පසුව නුඹ කියවන්නෙහි.,incorrect
නිතර ඔහු ගනී.,incorrect
ඊයේ ඇය සේදුවා ය.,incorrect
අද අපි ඉමු.,incorrect
ඉක්මනින් ඔවුහු දුවති.,incorrect
නිතර මම සිතමි.,incorrect
පෙර නුඹ දුන්නෙහි.,incorrect
හෙට ඔහු එන්නේ ය.,incorrect
බිම ඇය බිව්වා ය.,incorrect
අද අපි දකිමු.,incorrect
දැන් නුඹලා කවු.,incorrect
පසුව ඔවුහු යති.,incorrect
ඉක්මන් මම බිව්වෙමි.,incorrect
අද නුඹ අවදිවන්නෙහි.,incorrect
ඊයේ ඔහු සේදුවේ ය.,incorrect
හෙට ඇය ගන්නේ ය.,incorrect
නිතර අපි කියමු.,incorrect
දැන් ගස වැඩේයි.,incorrect
ඊයේ පොත තිබිණි.,incorrect
වහා සීතල පැතිරෙයි.,incorrect
දැන් දොර හැරෙයි.,incorrect
හෙට පාර සෑදේ.,incorrect
පසුව අහස පැහැදිලි වෙයි.,incorrect
නිතර මල් පිපෙයි.,incorrect
වහා ගින්න නිවිණි.,incorrect
වේගයෙන් කාලය ගෙවේ.,incorrect
වහා ශබ්දය නැඟේ.,incorrect
අද රථය නවතී.,incorrect
පසුව වැස්ස වැටෙයි.,incorrect
නිතර දුම යයි.,incorrect
ඊයේ බෝලය පෙරළුණේ ය.,incorrect
දැන් තත්වය වෙනස් විය.,incorrect
හෙට ප්‍රශ්නය ඇති වේ.,incorrect
දැන් මම කෑවෙමි.,incorrect
අද පොත් තිබේ.,incorrect
හෙට ඔහු දකින්නේ ය.,incorrect
ඊයේ බිත්තිය කැඩුණේ ය.,incorrect
නිතර අපි ලියමු.,incorrect
වහා ජලය ගලයි.,incorrect
ඊයේ ඔවුහු සිටියෝ ය.,incorrect
දැන් රහස හෙළි විය.,incorrect
හෙට මම එන්නෙමි.,incorrect
පසුව නුඹ දුවන්නෙහි.,incorrect
දැන් ඇය දකී.,incorrect
නිතර කරුණ පැහැදිලි වෙයි.,incorrect
ඊයේ අපි බිව්වෙමු.,incorrect
අද ගල් තිබේ.,incorrect
වහා ලෝකය වෙනස් වේ.,incorrect
නිතර මම කියමි.,incorrect
පසුව නදිය ගලයි.,incorrect
දැන් ඔහු ගනී.,incorrect
ඊයේ වීදුරු බිඳුණේ ය.,incorrect
හෙට ඇය එන්නේ ය.,incorrect
දැන් කාමරය අඳුරු විය.,incorrect
වහා අපි කියමු.,incorrect
නිතර වාතය චලනය වෙයි.,incorrect
පසුව ඔවුහු ලියති.,incorrect
ඊයේ ගස කැඩුණේ ය.,incorrect
අද මම සිටිමි.,incorrect
ඊයේ නුඹ කීවෙහි.,incorrect
වහා ඔහු දුවයි.,incorrect
දැන් පාර තැනේයි.,incorrect
හෙට ඇය බලන්නේ ය.,incorrect
නිතර මල් පවතී.,incorrect
දැන් අපි දනිමු.,incorrect
පසුව වැස්ස නවතියි.,incorrect
නිතර නුඹලා බලවු.,incorrect
වහා බෝල පෙරළෙයි.,incorrect
ඊයේ පොත විවෘත විය.,incorrect
දැන් මම නිදාගතිමි.,incorrect
පසුව සීතල හමයි.,incorrect
දැන් තේ මම බොමි.,incorrect
හෙට පොත නුඹ කියවන්නෙහි.,incorrect
ඊයේ බත් ඔහු කෑවේ ය.,incorrect
නිතර ගීත ඇය ගයයි.,incorrect
වහා ගෙදර අපි යමු.,incorrect
ඊයේ වැඩ නුඹලා කෙරූහුය.,incorrect
අද මෙහි ඔවුහු එති.,incorrect
හෙට ඇඳුම් මම අඳින්නෙමි.,incorrect
දැන් එහි නුඹ සිටින්නෙහි.,incorrect
පසුව මුදල් ඔහු ගනී.,incorrect
වහා පාඩම ඇය නිමකළේ ය.,incorrect
ඊයේ චිත්‍ර අපි දුටිමු.,incorrect
හෙට බත් නුඹලා කන්නවු.,incorrect
නිතර සත්‍යය ඔවුහු කියති.,incorrect
ඊයේ පොත මම කියවූයෙමි.,incorrect
දැන් ඉක්මන් නුඹ දුවන්නෙහි.,incorrect
ඊයේ කතාව ඔහු කීවේ ය.,incorrect
දැන් ජලය ඇය බොයි.,incorrect
හෙට එහි අපි යන්නෙමු.,incorrect
අද ගීත නුඹලා ගයවු.,incorrect
ඊයේ බත් ඔවුහු කෑවෝ ය.,incorrect
දැන් වැඩ මම ලියමි.,incorrect
හෙට පාඩම් නුඹ ඉගෙනගන්නෙහි.,incorrect
නිතර තෑගි ඔහු ගනී.,incorrect
ඊයේ ඇඳුම් ඇය සේදුවා ය.,incorrect
අද එහි අපි ඉමු.,incorrect
හෙට මෙහි නුඹලා එන්නවු.,incorrect
නිතර වේගයෙන් ඔවුහු දුවති.,incorrect
නිතර ඇත්ත මම සිතමි.,incorrect
පෙර පොත නුඹ දුන්නෙහි.,incorrect
හෙට මෙහි ඔහු එන්නේ ය.,incorrect
වහා වතුර ඇය බිව්වා ය.,incorrect
අද එහි අපි දකිමු.,incorrect
පසුව සෙමින් ඔවුහු යති.,incorrect
ඊයේ තේ මම බිව්වෙමි.,incorrect
නිතර හොඳින් නුඹ අවදිවන්නෙහි.,incorrect
ඊයේ බිම ඔහු සේදුවේ ය.,incorrect
හෙට මුදල් ඇය ගන්නේ ය.,incorrect
නිතර සත්‍යය අපි කියමු.,incorrect
දැන් විශාල ගස වැඩෙයි.,incorrect
නිතර සෙමින් ජලය ගලයි.,incorrect
ඊයේ එහි පොත තිබිණි.,incorrect
වහා නගරය සීතල පැතිරෙයි.,incorrect
දැන් ඉබේ දොර හැරෙයි.,incorrect
හෙට හොඳින් පාර සෑදේ.,incorrect
නිතර හොඳින් මල් පිපෙයි.,incorrect
වහා සෙමින් ගින්න නිවිණි.,incorrect
ඊයේ බිම වීදුරුව බිඳුණේ ය.,incorrect
සෙමින් කාලය ගෙවී යයි.,incorrect
වහා ඉහළ ශබ්දය නැඟේ.,incorrect
දැන් හොඳින් පලතුරු ඉදී ඇත.,incorrect
අද එහි රථය නවතී.,incorrect
පසුව සෙමින් වැස්ස වැටෙයි.,incorrect
නිතර ඉහළ දුම යයි.,incorrect
ඊයේ බිම බෝලය පෙරළුණේ ය.,incorrect
දැන් බත් මම කෑවෙමි.,incorrect
අද එහි පොත් තිබේ.,incorrect
හෙට ඇය ඔහු දකින්නේ ය.,incorrect
ඊයේ තදින් බිත්තිය කැඩුණේ ය.,incorrect
නිතර ලිපි අපි ලියමු.,incorrect
වහා ඉක්මනින් ජලය ගලයි.,incorrect
ඊයේ එහි ඔවුහු සිටියෝ ය.,incorrect
හෙට මෙහි මම එන්නෙමි.,incorrect
පසුව එහි නුඹ දුවන්නෙහි.,incorrect
දැන් ඔහු ඇය දකී.,incorrect
ඊයේ තේ අපි බිව්වෙමු.,incorrect
අද බිම ගල් තිබේ.,incorrect
හෙට එහි නුඹලා යන්නවු.,incorrect
නිතර ලෝකය වෙනස් වේ.,incorrect
නිතර කතාව මම කියමි.,incorrect
පසුව සෙමින් නදිය ගලයි.,incorrect
දැන් මුදල් ඔහු ගනී.,incorrect
හෙට මෙහි ඇය එන්නේ ය.,incorrect
දැන් ඉක්මනින් කාමරය අඳුරු විය.,incorrect
වහා ඇත්ත අපි කියමු.,incorrect
නිතර හොඳින් වාතය චලනය වෙයි.,incorrect
පසුව ලිපි ඔවුහු ලියති.,incorrect
ඊයේ විශාල ගස කැඩුණේ ය.,incorrect
දැන් හොඳින් මම සිටියෙමි.,incorrect
ඊයේ කතාව නුඹ කීවෙහි.,incorrect
වහා ගෙදර ඔහු දුවයි.,incorrect
දැන් හොඳින් පාර තැනේ.,incorrect
හෙට එය ඇය බලන්නේ ය.,incorrect
දැන් ඇත්ත අපි දනිමු.,incorrect
පසුව සෙමින් වැස්ස නවතියි.,incorrect
නිතර එය නුඹලා බලවු.,incorrect
වහා බිම බෝල පෙරළෙයි.,incorrect
හෙට මෙහි ඔවුහු එන්නෝ ය.,incorrect
දැන් ඉක්මනින් මම නිදාගතිමි.,incorrect
පසුව වේගයෙන් සීතල හමයි.,incorrect
,
,
මම පන්ති කාමරයේ ඉතා නිහඬව සිටිමි.,correct
මම ගුරුතුමිය අපට දුන් පැවරුම කළෙමි.,correct
ගුරුතුමිය අපට ලස්සන කතන්දරයක් කීවා ය.,correct
මම තම සොහොයුරිය පිළිබඳ ව සිතුවෙමි.,correct
ගුරුවරයා පාඩම විචිත්‍ර ලෙස ඉගැන්වීය.,correct
මිනිසුන් ධර්මය නිතර පිළිගන්නවා වෙති.,correct
සූර්යයා උදෑසන පූර්ව දිශාවෙන් නැඟුණේය.,correct
රාජ්‍යය වෙත නව සභාවක් පත් කරන ලදී.,correct
උන්වහන්සේ විශාල ග්‍රන්ථයක් නිර්මාණය කළසේක.,correct
සිසුහු ක්‍රීඩාවේ දක්ෂතාව මැනවින් පෙන්වූහ.,correct
නගරය අතිශය ධනවත් ව්‍යාපාරිකයෙකු විය.,correct
ජනතාව සියලු දුක්ඛිත තත්ත්වයන්ට මුහුණ දුන්හ.,correct
ලෝකයේ ප්‍රගතිය සඳහා නිරතුරුව යෙදේ.,correct
භික්ෂූන් විහාරයේ නිශ්ශබ්දව ධර්මය සාකච්ඡා කළහ.,correct
රාජ්‍ය නිලධාරීන් රාජකාරි කාරණා පරෙස්සමින් විමසා බලති.,correct
අපගේ තීරණය මුළු දේශය වෙතම බලපෑමක් විය.,correct
උගත් පණ්ඩිතයන් ප්‍රඥාව මනාව පරිශීලනය කළෝය.,correct
සංචාරකයා රමණීය දර්ශන බැලීමට කන්ද නැග්ගේය.,correct
ඔහු සිය කුඩා අධ්‍යාපන කරුණු පසුපස ගියේය.,correct
කාර්යාලයේ සිටින සියල්ලෝම නව ව්‍යාපෘතිය පිළිගනිති.,correct
