Correct Sentenes,Wrong sentences
භාණ්ඩ විකිණෙන්නේ ය.,විකිණෙන්නේ භාණ්ඩ.
ජනේලය තදින් වැසෙයි.,තදින් ජනේලය වැසෙයි.
පත්‍ර බිම වැටුණේ ය.,බිම පත්‍ර වැටුණේ ය.
වර්ණ ඉක්මනින් වෙනස් විය.,ඉක්මනින් වර්ණ වෙනස් විය.
රථය හෙට නවතින්නේ ය.,හෙට රථය නවතින්නේ ය.
දුම නිරතුරුව ඉහළ යයි.,නිරතුරුව දුම ඉහළ යයි.
ගල් බිම තිබුණේ ය.,බිම ගල් තිබුණේ ය.
විදුලිය දැන් විසන්ධි වෙයි.,දැන් විදුලිය විසන්ධි වෙයි.
තත්වය ඉක්මනින් වෙනස් වේ.,ඉක්මනින් තත්වය වෙනස් වේ.
ඉරණම දැන් තීරණය විය.,දැන් ඉරණම තීරණය විය.
නදිය මඳින් ගලා යයි.,මඳින් නදිය ගලා යයි.
නිවස ඉතා අඳුරු විය.,ඉතා අඳුරු නිවස විය.
මේස හොඳින් සවි කෙරිණි.,හොඳින් මේස සවි කෙරිණි.
අපි ඊයේ එය සෑදුවෙමු,ඊයේ අපි සෑදුවෙමු එය .
මම බත් ඊයේ කෑයෙමි.,ඊයේ බත් මම කෑයෙමි.
නුඹ බත් ඊයේ කෑයෙහි.,ඊයේ බත් නුඹ කෑයෙහි.
ඔහු තේ ඊයේ බීයේ ය.,ඊයේ තේ ඔහු බීයේ ය.
අපි බත් ඊයේ කෑයෙමු.,ඊයේ බත් අපි කෑයෙමු.
නුඹලා බත් ඊයේ කෑහුය.,ඊයේ බත් නුඹලා කෑහුය.
ඔවුහු තේ ඊයේ බීවෝ ය.,ඊයේ තේ ඔවුහු බීවෝ ය.
අපි ඊයේ නැටීමු.,ඊයේ අපි නැටීමු.
මම හෙට කන්නෙමි.,හෙට මම කන්නෙමි.
නුඹ හෙට කන්නෙහී.,හෙට නුඹ කන්නෙහී.
ඔහු හෙට බොන්නේ ය.,හෙට ඔහු බොන්නේ ය.
ඇය හෙට යන්නේ ය.,හෙට ඇය යන්නේ ය.
අපි හෙට යන්නෙමු.,හෙට අපි යන්නෙමු.
නුඹලා හෙට යන්නවු.,හෙට නුඹලා යන්නවු.
ඔවුහු හෙට එන්නෝ ය.,හෙට ඔවුහු එන්නෝ ය.
රහස ඊයේ හෙළි විය.,ඊයේ රහස හෙළි විය.
සිදුවීම ඊයේ සිදුවිය.,ඊයේ සිදුවීම සිදුවිය.
මම දැන් කමි.,දැන් මම කමි.
නුඹ හෙට යන්නෙහි.,හෙට නුඹ යන්නෙහි.
ඔහු ඊයේ ආයේ ය.,ඊයේ ඔහු ආයේ ය.
ඇය නිතර ලියයි.,නිතර ඇය ලියයි.
අපි වහා යමු.,වහා අපි යමු.
නුඹලා පෙර කෑහුය.,පෙර නුඹලා කෑහුය.
ඔවුහු අද එති.,අද ඔවුහු එති.
මම හෙට බොන්නෙමි.,හෙට මම බොන්නෙමි.
නුඹ දැන් සිටින්නෙහි.,දැන් නුඹ සිටින්නෙහි.
ඔහු පසුව දනී.,පසුව ඔහු දනී.
ඇය වහා ඇන්දේ ය.,වහා ඇය ඇන්දේ ය.
අපි ඊයේ දුටිමු.,ඊයේ අපි දුටිමු.
නුඹලා හෙට එන්නවු.,හෙට නුඹලා එන්නවු.
ඔවුහු නිතර දකිති.,නිතර ඔවුහු දකිති.
මම සවස් ගතිමි.,සවස් මම ගතිමි.
නුඹ අද දුවන්නෙහි.,අද නුඹ දුවන්නෙහි.
ඔහු පෙර කීවේ ය.,පෙර ඔහු කීවේ ය.
ඇය දැන් දනී.,දැන් ඇය දනී.
නුඹලා අද ගයවු.,අද නුඹලා ගයවු.
ඔවුහු ඉක්මන් ආවෝ ය.,ඉක්මන් ඔවුහු ආවෝ ය.
මම දැන් ලියමි.,දැන් මම ලියමි.
නුඹ පසුව කියවන්නෙහි.,පසුව නුඹ කියවන්නෙහි.
ඔහු නිතර ගනී.,නිතර ඔහු ගනී.
ඇය ඊයේ සේදුවා ය.,ඊයේ ඇය සේදුවා ය.
අපි අද ඉමු.,අද අපි ඉමු.
ඔවුහු ඉක්මනින් දුවති.,ඉක්මනින් ඔවුහු දුවති.
මම නිතර සිතමි.,නිතර මම සිතමි.
නුඹ පෙර දුන්නෙහි.,පෙර නුඹ දුන්නෙහි.
ඔහු හෙට එන්නේ ය.,හෙට ඔහු එන්නේ ය.
ඇය බිම බිව්වා ය.,බිම ඇය බිව්වා ය.
අපි අද දකිමු.,අද අපි දකිමු.
නුඹලා දැන් කවු.,දැන් නුඹලා කවු.
ඔවුහු පසුව යති.,පසුව ඔවුහු යති.
මම ඉක්මන් බිව්වෙමි.,ඉක්මන් මම බිව්වෙමි.
නුඹ අද අවදිවන්නෙහි.,අද නුඹ අවදිවන්නෙහි.
ඔහු ඊයේ සේදුවේ ය.,ඊයේ ඔහු සේදුවේ ය.
ඇය හෙට ගන්නේ ය.,හෙට ඇය ගන්නේ ය.
අපි නිතර කියමු.,නිතර අපි කියමු.
ගස දැන් වැඩේයි.,දැන් ගස වැඩේයි.
පොත ඊයේ තිබිණි.,ඊයේ පොත තිබිණි.
සීතල වහා පැතිරෙයි.,වහා සීතල පැතිරෙයි.
දොර දැන් හැරෙයි.,දැන් දොර හැරෙයි.
පාර හෙට සෑදේ.,හෙට පාර සෑදේ.
අහස පසුව පැහැදිලි වෙයි.,පසුව අහස පැහැදිලි වෙයි.
මල් නිතර පිපෙයි.,නිතර මල් පිපෙයි.
ගින්න වහා නිවිණි.,වහා ගින්න නිවිණි.
කාලය වේගයෙන් ගෙවේ.,වේගයෙන් කාලය ගෙවේ.
ශබ්දය වහා නැඟේ.,වහා ශබ්දය නැඟේ.
රථය අද නවතී.,අද රථය නවතී.
වැස්ස පසුව වැටෙයි.,පසුව වැස්ස වැටෙයි.
දුම නිතර යයි.,නිතර දුම යයි.
බෝලය ඊයේ පෙරළුණේ ය.,ඊයේ බෝලය පෙරළුණේ ය.
තත්වය දැන් වෙනස් විය.,දැන් තත්වය වෙනස් විය.
ප්‍රශ්නය හෙට ඇති වේ.,හෙට ප්‍රශ්නය ඇති වේ.
මම දැන් කෑවෙමි.,දැන් මම කෑවෙමි.
පොත් අද තිබේ.,අද පොත් තිබේ.
ඔහු හෙට දකින්නේ ය.,හෙට ඔහු දකින්නේ ය.
බිත්තිය ඊයේ කැඩුණේ ය.,ඊයේ බිත්තිය කැඩුණේ ය.
අපි නිතර ලියමු.,නිතර අපි ලියමු.
ජලය වහා ගලයි.,වහා ජලය ගලයි.
ඔවුහු ඊයේ සිටියෝ ය.,ඊයේ ඔවුහු සිටියෝ ය.
රහස දැන් හෙළි විය.,දැන් රහස හෙළි විය.
මම හෙට එන්නෙමි.,හෙට මම එන්නෙමි.
නුඹ පසුව දුවන්නෙහි.,පසුව නුඹ දුවන්නෙහි.
ඇය දැන් දකී.,දැන් ඇය දකී.
කරුණ නිතර පැහැදිලි වෙයි.,නිතර කරුණ පැහැදිලි වෙයි.
අපි ඊයේ බිව්වෙමු.,ඊයේ අපි බිව්වෙමු.
ගල් අද තිබේ.,අද ගල් තිබේ.
ලෝකය වහා වෙනස් වේ.,වහා ලෝකය වෙනස් වේ.
මම නිතර කියමි.,නිතර මම කියමි.
නදිය පසුව ගලයි.,පසුව නදිය ගලයි.
ඔහු දැන් ගනී.,දැන් ඔහු ගනී.
වීදුරු ඊයේ බිඳුණේ ය.,ඊයේ වීදුරු බිඳුණේ ය.
ඇය හෙට එන්නේ ය.,හෙට ඇය එන්නේ ය.
කාමරය දැන් අඳුරු විය.,දැන් කාමරය අඳුරු විය.
අපි වහා කියමු.,වහා අපි කියමු.
වාතය නිතර චලනය වෙයි.,නිතර වාතය චලනය වෙයි.
ඔවුහු පසුව ලියති.,පසුව ඔවුහු ලියති.
ගස ඊයේ කැඩුණේ ය.,ඊයේ ගස කැඩුණේ ය.
මම අද සිටිමි.,අද මම සිටිමි.
නුඹ ඊයේ කීවෙහි.,ඊයේ නුඹ කීවෙහි.
ඔහු වහා දුවයි.,වහා ඔහු දුවයි.
පාර දැන් තැනේයි.,දැන් පාර තැනේයි.
ඇය හෙට බලන්නේ ය.,හෙට ඇය බලන්නේ ය.
මල් නිතර පවතී.,නිතර මල් පවතී.
අපි දැන් දනිමු.,දැන් අපි දනිමු.
වැස්ස පසුව නවතියි.,පසුව වැස්ස නවතියි.
නුඹලා නිතර බලවු.,නිතර නුඹලා බලවු.
බෝල වහා පෙරළෙයි.,වහා බෝල පෙරළෙයි.
පොත ඊයේ විවෘත විය.,ඊයේ පොත විවෘත විය.
මම දැන් නිදාගතිමි.,දැන් මම නිදාගතිමි.
සීතල පසුව හමයි.,පසුව සීතල හමයි.
මම තේ දැන් බොමි.,දැන් තේ මම බොමි.
නුඹ පොත හෙට කියවන්නෙහි.,හෙට පොත නුඹ කියවන්නෙහි.
ඔහු බත් ඊයේ කෑවේ ය.,ඊයේ බත් ඔහු කෑවේ ය.
ඇය ගීත නිතර ගයයි.,නිතර ගීත ඇය ගයයි.
අපි ගෙදර වහා යමු.,වහා ගෙදර අපි යමු.
නුඹලා වැඩ ඊයේ කෙරූහුය.,ඊයේ වැඩ නුඹලා කෙරූහුය.
ඔවුහු මෙහි අද එති.,අද මෙහි ඔවුහු එති.
මම ඇඳුම් හෙට අඳින්නෙමි.,හෙට ඇඳුම් මම අඳින්නෙමි.
නුඹ එහි දැන් සිටින්නෙහි.,දැන් එහි නුඹ සිටින්නෙහි.
ඔහු මුදල් පසුව ගනී.,පසුව මුදල් ඔහු ගනී.
ඇය පාඩම වහා නිමකළේ ය.,වහා පාඩම ඇය නිමකළේ ය.
අපි චිත්‍ර ඊයේ දුටිමු.,ඊයේ චිත්‍ර අපි දුටිමු.
නුඹලා බත් හෙට කන්නවු.,හෙට බත් නුඹලා කන්නවු.
ඔවුහු සත්‍යය නිතර කියති.,නිතර සත්‍යය ඔවුහු කියති.
මම පොත ඊයේ කියවූයෙමි.,ඊයේ පොත මම කියවූයෙමි.
නුඹ ඉක්මන් දැන් දුවන්නෙහි.,දැන් ඉක්මන් නුඹ දුවන්නෙහි.
ඔහු කතාව ඊයේ කීවේ ය.,ඊයේ කතාව ඔහු කීවේ ය.
ඇය ජලය දැන් බොයි.,දැන් ජලය ඇය බොයි.
අපි එහි හෙට යන්නෙමු.,හෙට එහි අපි යන්නෙමු.
නුඹලා ගීත අද ගයවු.,අද ගීත නුඹලා ගයවු.
ඔවුහු බත් ඊයේ කෑවෝ ය.,ඊයේ බත් ඔවුහු කෑවෝ ය.
මම වැඩ දැන් ලියමි.,දැන් වැඩ මම ලියමි.
නුඹ පාඩම් හෙට ඉගෙනගන්නෙහි.,හෙට පාඩම් නුඹ ඉගෙනගන්නෙහි.
ඔහු තෑගි නිතර ගනී.,නිතර තෑගි ඔහු ගනී.
ඇය ඇඳුම් ඊයේ සේදුවා ය.,ඊයේ ඇඳුම් ඇය සේදුවා ය.
අපි එහි අද ඉමු.,අද එහි අපි ඉමු.
නුඹලා මෙහි හෙට එන්නවු.,හෙට මෙහි නුඹලා එන්නවු.
ඔවුහු වේගයෙන් නිතර දුවති.,නිතර වේගයෙන් ඔවුහු දුවති.
මම ඇත්ත නිතර සිතමි.,නිතර ඇත්ත මම සිතමි.
නුඹ පොත පෙර දුන්නෙහි.,පෙර පොත නුඹ දුන්නෙහි.
ඔහු මෙහි හෙට එන්නේ ය.,හෙට මෙහි ඔහු එන්නේ ය.
ඇය වතුර වහා බිව්වා ය.,වහා වතුර ඇය බිව්වා ය.
අපි එහි අද දකිමු.,අද එහි අපි දකිමු.
ඔවුහු සෙමින් පසුව යති.,පසුව සෙමින් ඔවුහු යති.
මම තේ ඊයේ බිව්වෙමි.,ඊයේ තේ මම බිව්වෙමි.
නුඹ නිතර හොඳින් අවදිවන්නෙහි.,නිතර හොඳින් නුඹ අවදිවන්නෙහි.
ඔහු බිම ඊයේ සේදුවේ ය.,ඊයේ බිම ඔහු සේදුවේ ය.
ඇය මුදල් හෙට ගන්නේ ය.,හෙට මුදල් ඇය ගන්නේ ය.
අපි සත්‍යය නිතර කියමු.,නිතර සත්‍යය අපි කියමු.
ගස විශාල දැන් වැඩෙයි.,දැන් විශාල ගස වැඩෙයි.
ජලය සෙමින් නිතර ගලයි.,නිතර සෙමින් ජලය ගලයි.
පොත එහි ඊයේ තිබිණි.,ඊයේ එහි පොත තිබිණි.
සීතල නගරය වහා පැතිරෙයි.,වහා නගරය සීතල පැතිරෙයි.
දොර ඉබේ දැන් හැරෙයි.,දැන් ඉබේ දොර හැරෙයි.
පාර හොඳින් හෙට සෑදේ.,හෙට හොඳින් පාර සෑදේ.
මල් හොඳින් නිතර පිපෙයි.,නිතර හොඳින් මල් පිපෙයි.
ගින්න සෙමින් වහා නිවිණි.,වහා සෙමින් ගින්න නිවිණි.
වීදුරුව බිම ඊයේ බිඳුණේ ය.,ඊයේ බිම වීදුරුව බිඳුණේ ය.
කාලය සෙමින් ගෙවී යයි.,සෙමින් කාලය ගෙවී යයි.
ශබ්දය ඉහළ වහා නැඟේ.,වහා ඉහළ ශබ්දය නැඟේ.
පලතුරු හොඳින් දැන් ඉදී ඇත.,දැන් හොඳින් පලතුරු ඉදී ඇත.
රථය එහි අද නවතී.,අද එහි රථය නවතී.
වැස්ස සෙමින් පසුව වැටෙයි.,පසුව සෙමින් වැස්ස වැටෙයි.
දුම ඉහළ නිතර යයි.,නිතර ඉහළ දුම යයි.
බෝලය බිම ඊයේ පෙරළුණේ ය.,ඊයේ බිම බෝලය පෙරළුණේ ය.
මම බත් දැන් කෑවෙමි.,දැන් බත් මම කෑවෙමි.
පොත් එහි අද තිබේ.,අද එහි පොත් තිබේ.
ඔහු ඇය හෙට දකින්නේ ය.,හෙට ඇය ඔහු දකින්නේ ය.
බිත්තිය තදින් ඊයේ කැඩුණේ ය.,ඊයේ තදින් බිත්තිය කැඩුණේ ය.
අපි ලිපි නිතර ලියමු.,නිතර ලිපි අපි ලියමු.
ජලය ඉක්මනින් වහා ගලයි.,වහා ඉක්මනින් ජලය ගලයි.
ඔවුහු එහි ඊයේ සිටියෝ ය.,ඊයේ එහි ඔවුහු සිටියෝ ය.
මම මෙහි හෙට එන්නෙමි.,හෙට මෙහි මම එන්නෙමි.
නුඹ එහි පසුව දුවන්නෙහි.,පසුව එහි නුඹ දුවන්නෙහි.
ඇය ඔහු දැන් දකී.,දැන් ඔහු ඇය දකී.
අපි තේ ඊයේ බිව්වෙමු.,ඊයේ තේ අපි බිව්වෙමු.
ගල් බිම අද තිබේ.,අද බිම ගල් තිබේ.
නුඹලා එහි හෙට යන්නවු.,හෙට එහි නුඹලා යන්නවු.
ලෝකය නිතර වෙනස් වේ.,නිතර ලෝකය වෙනස් වේ.
මම කතාව නිතර කියමි.,නිතර කතාව මම කියමි.
නදිය සෙමින් පසුව ගලයි.,පසුව සෙමින් නදිය ගලයි.
ඔහු මුදල් දැන් ගනී.,දැන් මුදල් ඔහු ගනී.
ඇය මෙහි හෙට එන්නේ ය.,හෙට මෙහි ඇය එන්නේ ය.
කාමරය ඉක්මනින් දැන් අඳුරු විය.,දැන් ඉක්මනින් කාමරය අඳුරු විය.
අපි ඇත්ත වහා කියමු.,වහා ඇත්ත අපි කියමු.
වාතය හොඳින් නිතර චලනය වෙයි.,නිතර හොඳින් වාතය චලනය වෙයි.
ඔවුහු ලිපි පසුව ලියති.,පසුව ලිපි ඔවුහු ලියති.
ගස විශාල ඊයේ කැඩුණේ ය.,ඊයේ විශාල ගස කැඩුණේ ය.
මම දැන් හොඳින් සිටියෙමි.,දැන් හොඳින් මම සිටියෙමි.
නුඹ ඊයේ කතාව කීවෙහි.,ඊයේ කතාව නුඹ කීවෙහි.
ඔහු ගෙදර වහා දුවයි.,වහා ගෙදර ඔහු දුවයි.
පාර හොඳින් දැන් තැනේ.,දැන් හොඳින් පාර තැනේ.
ඇය එය හෙට බලන්නේ ය.,හෙට එය ඇය බලන්නේ ය.
අපි ඇත්ත දැන් දනිමු.,දැන් ඇත්ත අපි දනිමු.
වැස්ස සෙමින් පසුව නවතියි.,පසුව සෙමින් වැස්ස නවතියි.
නුඹලා එය නිතර බලවු.,නිතර එය නුඹලා බලවු.
බෝල බිම වහා පෙරළෙයි.,වහා බිම බෝල පෙරළෙයි.
ඔවුහු මෙහි හෙට එන්නෝ ය.,හෙට මෙහි ඔවුහු එන්නෝ ය.
මම ඉක්මනින් දැන් නිදාගතිමි.,දැන් ඉක්මනින් මම නිදාගතිමි.
සීතල වේගයෙන් පසුව හමයි.,පසුව වේගයෙන් සීතල හමයි.
